Año,Referencia,Dominio de aplicación,Tipo de datos,Número de variables,Longitud temporal,Mecanismo de ausencia asumido,Patrón de ausencia evaluado,Método,Tipo de salida: puntual o probabilística,Pérdida de entrenamiento,Métricas,Baselines,Ventajas,Limitaciones,Código o datos disponibles,Relevancia para tu taxonomía
2007,"Carpenter, J. R., Kenward, M. G., & White, I. R. (2007). ","Ensayos clínicos médicos (p. ej., ensayo clínico aleatorizado de intervenciones educativas por correo o presenciales para mejorar la calidad de las revisiones por pares de artículos médicos en el BMJ).","Continuos (Índice de Calidad de la Revisión - RQI, escala validada de 1 a 5).",Variable de respuesta principal (RQI del artículo 2) y covariables completamente observadas (RQI inicial del artículo 1 y grupo de asignación de tratamiento).,Dos puntos de tiempo (basal/paper 1 y post-intervención/paper 2).,Missing Not at Random (MNAR) / No al azar. El método parte de imputaciones generadas bajo el supuesto ignorable de MAR y evalúa desviaciones controladas mediante un análisis de sensibilidad.,"Pérdida de seguimiento y deserción (dropout) en ensayos clínicos (p. ej., pacientes asignados a una intervención que no envían la segunda revisión). En el caso de estudio, la deserción llegó al 25% global y hasta un 38% en el grupo de intervención postal.",Método de reponderación de imputaciones múltiples (importance-weighted MI) mediante muestreo de importancia (Importance Sampling). Se imputan los datos faltantes bajo el supuesto estándar de MAR (creando $M$ conjuntos). El estimador NMAR final de un parámetro de tratamiento ($ heta$) y su varianza se calculan reponderando los resultados de cada conjunto de datos imputado. Los pesos dependen de la variable imputada y de un parámetro de sensibilidad fijo $\delta$ (delta) que representa el cambio en el log-odds de respuesta ante variaciones de una unidad en la respuesta.,"Probabilística/Mixta. El estimador final del efecto es puntual, pero el marco calcula la varianza ajustada de Rubin ($V{NMAR}$) mediante reponderación y ajusta los grados de libertad de la distribución t para las pruebas de Wald.",No aplica (es un método de reponderación post-hoc bayesiano/frecuentista no iterativo).,"Sesgo remanente, error estándar (SE), cobertura de los intervalos de confianza e influencia de casos individuales.","Imputación múltiple estándar bajo MAR (MICE), análisis de casos completos (CC/MCAR), y modelado conjunto NMAR completo usando MCMC (winBUGS) con prioris vagas.",Es extremadamente rápido computacionalmente ya que evita el costoso entrenamiento de modelos conjuntos iterativos NMAR (como MCMC en winBUGS); es robusto frente a la mala especificación del modelo de deserción respecto a la parte de los datos observados (semiparamétrico); y permite realizar análisis de sensibilidad de forma inmediata simplemente cambiando el valor de $\delta$ y recalculando los pesos sobre las imputaciones MAR existentes.,"Si la deserción es severa y el solapamiento entre la distribución de datos observados e imputados es bajo (por ejemplo, con deltas $\delta$ muy grandes), los pesos se concentran en unas pocas imputaciones dominantes, haciendo que las estimaciones sean erráticas y subestimen el error estándar, a menos que el número de imputaciones $M$ sea muy grande ($M \geq 50$ o $M \geq 250$).","Datos del ensayo clínico de revisiones por pares del BMJ de Schroter et al. (2004). No se detalla un repositorio de software específico, pero se menciona que es fácilmente implementable sobre cualquier software de imputación múltiple estándar.","Clasificación clave para métodos semiparamétricos de análisis de sensibilidad no ignorables (NMAR) en variables de respuesta continuas de ensayos clínicos mediante reponderación estocástica (Muestreo de Importancia), sorteando el costo de modelos de selección conjunta."
2009,Graham (2009),"Psicología conductual, psiquiatría, medicina comunitaria y programas de prevención longitudinales.","Series de tiempo longitudinales multi-ola complejas, datos continuos, categóricos y de clústeres escolares.",Decenas de variables clínicas y de comportamiento (tabulares mixtas).,Múltiples olas anuales de recolección (longitudinal).,MAR (Missing at Random) y MNAR (deserción longitudinal sistemática / attrition).,Pérdida no planificada (ola de deserción) y pérdida planificada mediante diseños multiformas rotados (3-form).,"Análisis e integración práctica de FIML e Imputación Múltiple (MI) bajo la estrategia ""inclusiva"" de variables auxiliares.",Probabilística (MI con m = 40 conjuntos de imputaciones) y puntual robusta (FIML).,Maximización del observed-data likelihood (FIML) y algoritmos de aumento de datos bayesianos MCMC (DA).,"Poder estadístico para efectos pequeños, sesgo estandarizado, tasa de error tipo I, cobertura de intervalos.","Listwise deletion (LD), pairwise deletion (AC), sustitución de medias, regresión puntual simple.",Demuestra que añadir variables auxiliares (e.g. mediciones previas) mitiga drásticamente el sesgo no-MAR; justifica m = 40 imputaciones para el poder.,Alta complejidad para seleccionar y preprocesar variables auxiliares cuando hay cientos de ítems de encuestas.,"Sí (guías para usar software NORM, Amelia II, SAS Proc MI, Mplus, Amos, LISREL).","Establece la regla práctica de la estrategia inclusiva (auxiliary variables), puente entre los supuestos MAR y la deserción en el mundo real."
2009,"Sarrouy, O., Totel, E., & Jouga, B. (2009). ",Seguridad informática y sistemas de detección de intrusiones (IDS) a nivel de proceso (detección de ataques orientados puramente a datos de aplicación que no alteran el flujo de control del programa).,Discretos y continuos (valores de variables y memoria del proceso obtenidos mediante instrumentación binaria dinámica).,Múltiples variables del programa e ítems de datos de memoria crítica filtrados bajo el concepto de conjunto de datos sensible a intrusiones (Intrusion Sensitive Data Set - ISDS).,No aplica (mide secuencias de estados globales de ejecución del software).,No aplica en el sentido clásico de datos faltantes en tablas. El supuesto es de seguridad: los ataques de datos se manifiestan porque violan restricciones de invarianza de datos que son consistentes bajo condiciones normales.,No aplica.,Extracción y control dinámico del sistema de restricciones invariantes $C$ que caracterizan los estados de ejecución limpia del software. Reduce el conjunto de variables críticas definiendo el ISDS mediante análisis causal de dependencias (taint analysis) centrándose solo en datos que dependan de entradas del usuario y que influyan en llamadas críticas del sistema. Utiliza la herramienta Daikon para extraer invariantes del ISDS sobre trazas de ejecución libre de ataques.,Puntual/Booleano (emite una alerta de intrusión binaria tan pronto como una restricción de invarianza de datos se rompa a nivel de byte en memoria).,"No aplica (extracción heurística exhaustiva de relaciones constantes, lineales, de orden o conjuntos a partir del generador de Daikon).",Detección de ataques orientados a datos puros sin falsos positivos en ejecución limpia.,IDS tradicionales basados exclusivamente en la integridad del flujo de llamadas del sistema (modelos tradicionales inmunológicos de caja negra y caja gris).,Capaz de detectar ataques sumamente sofisticados de datos puros (mimicry attacks) que evaden por completo a los IDS de llamadas de sistema; el uso del ISDS mediante taint analysis disminuye dramáticamente la cantidad de datos a monitorear.,"La instrumentación a nivel de instrucciones de ensamblador binario carece de semántica enriquecida de tipos de datos, limitando el tipo de invariantes que la herramienta Daikon puede extraer de forma automática.",Prototipo desarrollado utilizando Valgrind y Daikon. Datos de vulnerabilidades reales de wu-ftpd.,Modelado de seguridad e integridad de datos críticos mediante restricciones y dependencias invariantes deterministas causales en entornos de ejecución de sistemas de software.
2010,Shmueli (2010),Metodología de modelado estadístico y minería de datos (discusión conceptual sobre la diferencia entre explicar y predecir).,"Datos empíricos (tabulares, encuestas, subastas en línea).",N/A.,N/A.,"MAR, MCAR, MNAR en contextos explicativos vs. predictivos.",Evaluación del impacto de la imputación en el error predictivo (out-of-sample) frente al sesgo de estimación de coeficientes.,Análisis comparativo de enfoques de manejo de datos faltantes en árboles de clasificación y regresión predictiva (ej. creación de variables dummy de ausencia/missing indicators).,Puntual (imputación predictiva) y probabilística (distribución posterior predictiva).,Minimización del sesgo de estimación de coeficientes (enfoque explicativo) vs. minimización del error de predicción out-of-sample (enfoque predictivo).,"Goodness-of-fit (R2, Hausman test, residual analysis) frente a out-of-sample metrics (RMSE, Accuracy, F1-score, bias-variance decomposition).",Imputaciones tradicionales basadas en MAR vs. variables dummy de ausencia para árboles de decisión.,"Demuestra conceptualmente que un método ""insatisfactorio"" para la explicación causal (como las variables indicadoras de ausencia) puede ser excelente y muy robusto para la predicción, y que la ausencia misma puede ser informativa para predecir.","No propone un algoritmo de imputación específico, sino un marco conceptual para guiar la selección de métodos.",Datos de subastas de eBay (parcialmente descritos).,Fundamento filosófico-metodológico que distingue la imputación orientada a la estimación paramétrica insesgada frente a la imputación orientada al rendimiento predictivo aguas abajo.
2011,van Buuren & Groothuis-Oudshoorn (2011),"Medicina, epidemiología, ciencias sociales, economía y análisis de encuestas generales.","Datos multivariados mixtos complejos (numéricos, factores binarios, categóricos ordenados e irregulares).","Boys dataset (9 variables antropométricas/desarrollo), NHANES (4 variables de salud).",Transversales y longitudinales estructurados (multinivel).,MAR (con extensiones manuales paramétricas para MNAR mediante offsets/controles).,"Patrones generales complejos, ausencias continuas y variables con relaciones lógicas estrictas.","mice 2.9 (R package): especificación condicional columna por columna con quickpred, imputación multinivel (2l.norm) e imputación pasiva.",Probabilística (flujo integrado para m imputaciones paralelas).,"Optimización secuencial columna por columna mediante Gibbs sampling univariado local (pmm, norm, logreg, polyreg, polr).","Varianza total T, variabilidad entre/dentro (U, B), fmi, lambda, p-valores de pruebas combinadas de Wald y ratios de verosimilitud.","SOLAS, Hmisc, SAS Proc MI, mice 1.0, mi, Zelig, SPSS Missing Values module.",Entorno unificado extremadamente maduro; maneja interacciones y transformaciones; testeo robusto de modelos anidados (pool.compare).,Fallas de convergencia o singularidades si existen colinealidades perfectas o malas especificaciones de la matriz de predictores.,Código abierto en CRAN (R package 'mice') con documentación paso a paso.,Consolidación industrial de los métodos FCS; estándar de facto para la investigación aplicada moderna con datos faltantes.
2014,Gómez-Carracedo et al. (2014),"Calidad del aire y monitoreo ambiental urbano (A Coruña, España).",Registros de contaminantes gaseosos y material particulado.,"8 variables físicas (NO, NO2, NOx, CO, O3, PM10, PM2.5, PM1).","Datos diarios de años completos (2006, 2009, 2010).","MAR (causado por fallas mecánicas, cortes de energía y calibración).",Tasa de pérdida real compleja (del 4% al 24%) con bloques de voids continuos.,"Listwise deletion, Modified Median (MM), Wise-Walczak (W-W / PCA iterativo), Regularized EM (R-EM), Multiple Imputation (MI).",Puntual y Probabilística (en MI con promedio de 5 simulaciones).,Estimación de verosimilitud en EM y a posteriori en MI.,Carga y puntuaciones de Factor Analysis rotado con Varimax; consistencia ambiental de los factores.,Comparación directa entre los 5 enfoques quimiométricos.,Evalúa el impacto de la imputación en el análisis multivariante de factores posterior (downstream tasks).,No abarca métodos modernos de redes neuronales profundas (solo quimiometría clásica).,N/A.,Demuestra los sesgos de estimadores simples y la consistencia de PCA e EM para el análisis de factores de contaminación.
2015,"Ahmat Zainuri, N., Jemain, A. A., & Muda, N. (2015).",Calidad del aire y monitoreo ambiental (datos de ozono de 8 estaciones de monitoreo en la Península de Malasia).,"Continuos, datos de series temporales organizados en una matriz de dimensiones $n imes p$ (donde las filas representan los días y las columnas representan las 24 horas del día).",1 variable principal (concentración de ozono) estructurada multivariadamente sobre 24 columnas (horas del día).,3 meses de mediciones horarias.,"Missing at Random (MAR), que es el mecanismo típico reportado para fallos de muestreo e instrumental en calidad del aire.","Simulación de datos faltantes eliminados completamente al azar (MCAR/MAR) con porcentajes de ausencia de 5%, 10%, 15%, 20%, 25% y 30%.","Sustitución por la media horaria, sustitución por la mediana horaria, algoritmo de Esperanza-Maximización (EM) basado en distribución normal condicional, Descomposición en Valores Singulares (SVD) con regresión iterativa, K-Vecinos Más Cercanos (KNN) y K-Vecinos Más Cercanos Secuencial (SKNN) donde la imputación se realiza secuencialmente ordenando los días con menor tasa de datos faltantes.",Puntual (proporciona un valor exacto para reemplazar la ausencia).,No aplica para los métodos heurísticos; el algoritmo de SVD y EM utilizan una tolerancia de convergencia basada en un umbral de cambio total de la matriz de 0.01.,"Coeficiente de correlación ($R$), índice de acuerdo ($d$) y error absoluto medio (MAE).",Imputación por la media y por la mediana como baselines de referencia simples; SVD como baseline multivariado intermedio.,"Los métodos EM, KNN y SKNN mostraron consistentemente el mejor desempeño. El algoritmo EM obtuvo el coeficiente de correlación más alto y el menor MAE en la mayoría de las estaciones, recuperando de forma eficiente la estructura estadística.",El reemplazo por la media y la mediana deforma la estructura de la covarianza y reduce drásticamente la variabilidad del conjunto de datos. La mediana fue el peor método en todas las estaciones.,Implementado en R. Los datos de ozono fueron provistos por el Departamento de Medio Ambiente de Malasia.,"Representa la categoría de imputación multivariada tabular para series temporales con estructura cíclica diaria (días x horas), contrastando técnicas heurísticas de vecindad local (KNN/SKNN) frente a estimación paramétrica por máxima verosimilitud (EM)."
2015,"Junger, W. L., & Ponce de Leon, A. (2015). ","Epidemiología ambiental y salud pública (estudio del impacto de la contaminación por partículas PM10 en las admisiones hospitalarias pediátricas por enfermedades respiratorias en São Paulo, Brasil).","Continuos, series de tiempo diarias multivariadas de concentración de contaminantes con fuerte autocorrelación temporal e intercorrelación espacial (estaciones).",10 variables continuas (concentraciones diarias de PM10 de 10 estaciones de monitoreo distribuidas espacialmente).,366 días de datos diarios correspondientes al año 2004.,"Evaluación comparativa simulando mecanismos MCAR, MAR y MNAR.","Proporciones de datos faltantes de 5%, 10%, 20%, 30% y 40% bajo cuatro patrones de gap: disperso (unidades aisladas), en fila (in-row, gaps consecutivos de 3, 5 o 7 días en una estación), en columna (in-column, fallos simultáneos del sistema) y disperso aleatorio combinado (dispersed).","Algoritmo EM multivariante adaptado para series temporales (mtsdi) bajo el supuesto de distribución normal multivariante. Incorpora filtros independientes para estimar el componente del nivel temporal de cada serie (ARIMA, splines cúbicos naturales, o modelos GAM con variables exógenas) e implementa ventanas temporales para capturar múltiples regímenes de covarianza. Adicionalmente, implementa una función de penalización de varianza para reflejar la incertidumbre de la imputación en la inferencia final.",Puntual (los valores diarios imputados) junto a un factor de penalización probabilístico que ajusta los errores estándar del modelo downstream de Poisson.,Verosimilitud de la distribución normal multivariante optimizada interativamente mediante pasos de Expectación (paso E) y Maximización (paso M).,"RMSE, error absoluto medio (MAE), sesgo (BIAS), varianza proporcional (PV), correlación de Pearson ($r$), índice de acuerdo de Willmott ($d2$) y sesgo/desviación de las estimaciones del riesgo relativo (%RR) de salud.","Análisis de casos completos (CC), media incondicional (UM), mediana (MD), vecino más cercano (NN), media condicional por regresión (CM) y algoritmo EM multivariante estándar sin filtro de nivel temporal.",El método propuesto con suavizado por splines de nivel temporal provee una exactitud y precisión óptimas incluso ante pérdidas extremas (40%) y bajo mecanismos MNAR; previene de manera eficaz el sesgo de selección y la subestimación de la varianza en los análisis de salud posteriores a la imputación.,El uso de regímenes de covarianza en ventanas temporales muy cortas (ej. trimestrales) puede generar inestabilidad o problemas de convergencia matemática con filtros ARIMA si la tasa de ausencia es extrema. Los métodos de imputación univariada (UM y MD) distorsionan la variabilidad y deben evitarse.,Implementado en R como el paquete de código abierto mtsdi disponible en CRAN. Datos provistos por CETESB (São Paulo).,Modelo de imputación híbrido (EM multivariado gaussiano combinando filtros de nivel deterministas/estocásticos temporales de splines y ARIMA) estructurado para el modelado de series temporales espaciotemporales continuas.
2015,Miao et al. (2015),"Inferencia econométrica y bioestadística en presencia de no respuesta no ignorable (análisis de gasto ambulatorio, encuestas de ingresos).",Datos tabulares continuos con sesgo de selección extremo.,"Gasto ambulatorio (Outcome Y: log de gasto; Covariables X: ingresos, edad, género, educación, etnia, total de enfermedades crónicas).",N/A.,"MNAR (Missing Not at Random - no respuesta no ignorable, donde la probabilidad de registrar un gasto depende del gasto mismo).",Pérdida unilateral severa en la variable de respuesta Y (~15% y ~25% de valores faltantes).,"Modelado de selección paramétrico (Heckman modificado) mediante mezclas de normales y mezclas de distribuciones t (t-mixture) combinadas con mecanismos de ausencia de tipo Probit, Logistic o Robit, resolviendo la identificabilidad sin requerir variables instrumentales.",Puntual (coeficientes del modelo de regresión e indicadores del mecanismo de selección) y probabilística (distribución predictiva).,Maximización de la verosimilitud observada marginalizada integrada.,"Sesgo de estimación de coeficientes (gamma, alpha, beta), intervalos de confianza del 95% (AIC, logL para selección de modelo).","Modelo normal estándar con mecanismo de selección Probit (Heckman), modelos ignorables (ignoring selection).",Demuestra rigurosamente la identificabilidad de mezclas normales y de t bajo mecanismos de selección no ignorables; el modelo t-mixture ofrece robustez excepcional frente a colas pesadas y multimodabilidad.,El mecanismo de selección Logistic es menos identificable que el Probit (requiere el cumplimiento de condiciones estrictas sobre los coeficientes de las covariables).,Datos de gasto ambulatorio (Cameron & Trivedi).,Identificabilidad teórica e inferencia rigurosa en datos MNAR (Missing Not at Random) mediante modelos de selección de mezclas paramétricas.
2018,"Sun, Qin & Huang (2018)","Epidemiología, medicina conductual e ingeniería de confiabilidad (estudios de demencia CSHA y asilos de ancianos).","Datos de supervivencia continuos multivariantes (tiempo de vida, tiempo de inicio de enfermedad) con truncamiento y censura.","Tiempos continuos de vida, tiempo de truncamiento y covariables clínicas (tipo de demencia).",Tiempos continuos medidos en días o años de seguimiento.,Truncamiento por la izquierda (muestreo sesgado por duración) y censura por la derecha como mecanismos de información faltante.,Truncamiento de sobrevivientes (muertes antes del inicio del estudio no son observadas; número de truncados es desconocido).,Aplicación del Principio de Información Faltante de Orchard & Woodbury para estimación de auto-consistencia del modelo de Cox.,Puntual (hazard acumulado estimado y coeficientes de regresión del modelo de Cox).,"Maximización del nonparametric/semiparametric full likelihood (verosimilitud total) de datos completos con ""fantasmas"" imputados.","Error estándar empírico (SE), media de desviaciones estándar estimadas (SEE), cobertura de confianza (CP) del 95%.","Lynden-Bell clásico, pseudo-partial likelihood (PPL) de Luo & Tsai, verosimilitud condicional estándar (PL) que descarta la distribución de truncamiento.",Mucho más eficiente que los baselines de verosimilitud condicional; propone un test de aleatoriedad (independencia) sumamente potente.,Formulación matemática sumamente avanzada; alta complejidad para implementar en software de análisis de supervivencia general.,Datos de CSHA y scripts de simulación disponibles bajo solicitud.,Generalización teórica de los principios de información faltante al campo del análisis de supervivencia con truncamiento.
2018,"Tompsett, D. M., Leacy, F., Moreno-Betancur, M., Heron, J., & White, I. R. (2018). ",Estudios longitudinales de salud mental y pediatría (análisis de la asociación entre el género y las puntuaciones de coeficiente intelectual - IQ - a los 15 años en la cohorte británica ALSPAC).,"Continuos y categóricos (género binario completo, puntuaciones de IQ estimadas a los 8 y 15 años de edad).","3 variables principales (Gender, IQ8, IQ15) más correspondientes vectores de indicadores binarios de datos faltantes $M = (M8, M{15})$.",Estudio longitudinal con dos visitas de seguimiento espaciadas en años (medición a los 8 y a los 15 años).,Missing Not at Random (MNAR) o no al azar.,"Patrón general no monótono de ausencia en datos longitudinales, con proporciones de ausencia de hasta el 49.6% en IQ8 y 66.2% en IQ15.","Procedimiento de especificación totalmente condicional no al azar (Not-at-Random Fully Conditional Specification - NARFCS). Modifica el algoritmo MICE (FCS) tradicional para incluir los indicadores de ausencia $M$ de los otros atributos como covariables univariadas en cada ecuación del bucle encadenado, incorporando coeficientes inestimables llamados parámetros de sensibilidad condicional (Conditional Sensitivity Parameters - CSP) que definen la diferencia de distribución entre datos faltantes y observados. Propone un método formal para calibrar estos CSPs (muy abstractos para ser elicitados por expertos clínicos) vinculándolos matemáticamente con parámetros de sensibilidad marginales (Marginal Sensitivity Parameters - MSP) más fáciles de elicitar de modelos de mezcla de patrones más sencillos.",Probabilística. Emplea la técnica de Imputación Múltiple (MI) y combina las estimaciones del efecto del tratamiento a través de las reglas de Rubin reflejando de forma precisa la incertidumbre de la imputación.,Mínimos cuadrados y máxima verosimilitud iterativa para la porción estimable de las regresiones condicionales lineales dentro del bucle encadenado MICE.,"Sesgo medio de la estimación del efecto, error estándar empírico (SE) de las simulaciones, tasas de cobertura del intervalo del 95% y valores p de la prueba de significancia.","Imputación por especificación totalmente condicional estándar (FCS/MICE asumiendo MAR), ingresar erróneamente los parámetros marginales MSP directamente como coeficientes condicionales en el algoritmo condicional NARFCS, modelos de mezcla de patrones analíticos tradicionales.",Permite imputar de forma flexible múltiples variables de tipos heterogéneos bajo supuestos MNAR no monótonos con sus distribuciones naturales correspondientes; resuelve la barrera práctica de la elicitación de parámetros condicionales abstractos mediante algoritmos que los asocian con diferencias marginales clínicamente inteligibles para expertos; mejora drásticamente la robustez de los análisis de sensibilidad.,"Si se ignora el carácter condicional del parámetro CSP de NARFCS y se ingresa el valor marginal MSP de manera directa, se induce un sesgo de estimación severo y una pérdida catastrófica de cobertura (cae del 95% nominal a niveles de hasta el 49.3%) en el análisis downstream. Los algoritmos de calibración iterativos pueden ser computacionalmente exigentes en muestras gigantescas.",Desarrollado como un paquete de R e integración de mice llamada NARFCS disponible públicamente en GitHub. Datos de la cohorte longitudinal británica ALSPAC.,Imputación multivariada no monótona bajo supuestos MNAR basada en MICE modificado (unidades condicionales encadenadas con indicadores de ausencia como regresores) y calibración sistemática de análisis de sensibilidad (CSPs vs MSPs).
2018,Zakaria & Noor (2018),Contaminación del aire en zonas urbanas de Malasia.,Series temporales de concentraciones de contaminantes.,Multivariante.,Registros continuos.,MAR/MCAR.,"Porcentajes simulados de valores perdidos (5%, 10%, 15%, 20%).","Comparación de MTB (Mean Top Bottom), NN (Nearest Neighbor), LR (Linear Regression), y MI (Multiple Imputation).",Puntual.,N/A.,"MAE, RMSE, R2, d2.","MTB, NN, LR, MI.",MTB ofrece excelentes resultados cuando la tasa de pérdida es muy baja (<10%).,La regresión lineal e imputaciones de promedios degradan la varianza real y muestran un rendimiento extremadamente bajo.,Datos de contaminación urbana de Malasia.,Evaluación empírica de técnicas de imputación simples vs. múltiples en bases de datos ambientales con baja tasa de ausencia.
2019,"Mattei, P.-A., & Frellsen, J. (2019). ","Aprendizaje profundo, inteligencia artificial y visión por computadora (binarización estática de MNIST y múltiples bases de datos continuas y complejas de UCI como Banknote, Breast, Concrete, Red, White, Yeast).",Tabulares e imágenes complejos binarios y continuos de alta dimensión.,"Alta dimensión (ej. 784 variables/píxeles en MNIST, múltiples atributos financieros en UCI).",No aplica (datos transversales o estáticos).,Missing at Random (MAR).,Gaps aleatorios uniformes correspondientes al 50% de las variables u oclusiones del 50% de los píxeles de las imágenes.,"MIWAE (Missing data Importance-Weighted Autoencoder). Es una técnica de entrenamiento de Modelos de Variables Latentes Profundas (DLVM) basada en el autocodificador ponderado por importancia (IWAE). Maximiza un límite inferior potencialmente estrecho de la verosimilitud observada utilizando una red de inferencia (encoder) alimentada por una imputación inicial naif de ceros de los datos faltantes y aproximación de importancia estocástica con $K$ pesos. Para la imputación, introduce un estimador de importancia estocástica no iterativo para estimar los momentos de las variables faltantes (single imputation) y un enfoque de remuestreo (sampling importance resampling) para imputación múltiple.",Mixta. Permite imputación puntual (single imputation estimando la media condicional $E[xm | xo]$) o probabilística multivariada (multiple imputation extrayendo muestras independientes aproximadas de la distribución condicional real $p(xm | xo)$).,"Límite inferior MIWAE (que extiende a MVAE cuando $K=1$), optimizado estocásticamente usando el optimizador Adam.","Log-verosimilitud del conjunto de prueba estimada mediante muestreo de importancia, error cuadrático medio (MSE) de imputación, exactitud y entropía cruzada en tareas de clasificación downstream del conjunto imputado.","missForest (bosques aleatorios no paramétricos), VAE regular entrenado en datos completos, MVAE (VAE de datos faltantes, $K=1$), PCA bayesiano, kNN, Imputación por la media.","Es computacionalmente muy eficiente y escalable para grandes conjuntos de datos y entrenamiento por lotes (online learning); no requiere un encoder complejo adaptado sino que la exactitud de la imputación naif inicial de ceros tiene poco efecto en el rendimiento gracias a las propiedades de consistencia de los pesos con $K \geq 50$; supera holgadamente a missForest, PCA y kNN tanto en la precisión de la imputación como en la clasificación posterior.",El modelo asume estrictamente que los datos son MAR; no es aplicable directamente a datos MNAR sin modelar de forma explícita la forma paramétrica del mecanismo de no respuesta. El estimador de gradiente de camino de derivada (pathway derivative) puede ser inestable en variables continuas.,Implementado en Python y TensorFlow Probability. Código y datos disponibles públicamente en repositorios de GitHub.,Modelado generativo profundo no lineal (DLVM / autocodificadores variacionales ponderados por importancia) optimizado directamente sobre datos faltantes MAR e imputación probabilística rápida mediante muestreo de importancia.
2019,"Shaadan, N., & Rahim, N. A. M. (2019). ","Calidad del aire y series temporales (concentración de partículas PM10 en la estación de monitoreo de Shah Alam, Selangor, Malasia).","Continuos, series temporales univariantes de intervalos de tiempo constantes (datos horarios de PM10).",1 variable continua (PM10) analizada univariadamente de manera directa.,"Series de tiempo horarias de 4 meses de duración (junio a septiembre de 2015), de la cual se extrajo una submuestra continua de 1009 observaciones (42 días de datos horarios) para servir de benchmark de validación.",Missing Completely at Random (MCAR) (confirmado empíricamente mediante pruebas estadísticas de hipótesis en la fase preliminar).,"Gaps simulados de datos ausentes de forma aleatoria con porcentajes de ausencia de 5%, 10% y 15% mediante simulación con 200 réplicas independientes de patrones de faltantes.","Interpolación Lineal (M1), Interpolación Spline (M2), Promedio Móvil Exponencial (EMA - M3), Reemplazo Aleatorio Uniforme (M4), Filtro de Kalman con modelo ARIMA (M5) y Método de la Media Anterior-Posterior (Mean Before and After - M6).",Puntual (los valores diarios imputados horariamente).,No aplica directamente (métodos matemáticos analíticos y recursivos implementados en R).,"RMSE, error absoluto medio (MAE), coeficiente de determinación ($R^2$) e índice de acuerdo de Willmott ($d$).",Imputación aleatoria simple (M4) e interpolación lineal (M1).,El Filtro de Kalman con modelo ARIMA (M5) superó de manera consistente al resto de los métodos evaluados al tener el menor error general (RMSE y MAE) y mayor relación de correspondencia ($R^2$) e índice de acuerdo en casi todos los niveles de ausencia; la interpolación lineal también mostró un excelente índice de acuerdo.,La imputación aleatoria (M4) tiene un desempeño pésimo y debe descartarse ya que introduce una enorme distorsión y variabilidad de error en los datos; las conclusiones y el mejor método identificado no se pueden generalizar directamente a otras estaciones de Malasia debido a que las series de tiempo están influenciadas por características geográficas e interacciones meteorológicas locales que deben modelarse por separado.,Implementado en R. Datos de PM10 de Shah Alam facilitados por el Departamento de Medio Ambiente (DOE) de Malasia.,"Evaluación cuantitativa sistemática de técnicas univariantes para series de tiempo continuas (PM10), comparando interpolaciones deterministas básicas con promedios móviles y estimadores recursivos en el espacio de estados (Kalman-ARIMA) bajo MCAR."
2019,"Uechi, L., Galas, D. J., & Sakhanenko, N. A. (2019).","Biología de sistemas, genómica compleja y análisis biomédico (ej. análisis de dependencias espaciales o interacciones en secuencias genómicas de SNPs, expresión de genes, niveles de RNA, patrones de fenotipos y registros médicos).",Categóricos y continuos discretizados de forma no paramétrica.,"Multivariados (análisis de pares de variables en mutual information, tríos de variables en interaction information y generalización a $n$ variables).",No aplica (estudio transversal o estático de dependencias multidimensionales).,Missing Completely at Random (MCAR) (tratado de forma enteramente no paramétrica libre de modelo).,"Porcentajes de datos faltantes introducidos al azar de 0%, 5%, 10%, 15% y 20% sobre las variables.","Marco de teoría de la información basado en el modelado de canales de comunicación ruidosos (noisy communication channels). Considera las interacciones o dependencias como canales y el dato faltante como ruido o error de transmisión que degrada la capacidad del canal. Define una función de confiabilidad (Reliability Function - $De$) expresada en términos del índice de error de transmisión ($e$) de los datos faltantes que cuantifica el límite máximo de información que se puede extraer, permitiendo evaluar directamente la robustez de las interacciones multivariadas sin realizar imputaciones ni eliminar muestras.",Informativa. Produce una medida de confiabilidad normalizada ($de$) de valor entre 0 y 1 para sopesar y calificar la significancia del nivel de dependencia obtenido.,No aplica (enfoque algebraico analítico directo y no paramétrico basado en el cálculo de frecuencias y entropías de Shannon).,Puntuación de significancia de dependencias multivariadas (z-score) y valor de la función de confiabilidad normalizada ($de$).,"Omisión de datos ausentes al calcular individualmente cada término de entropía (pairwise omission), eliminación de muestras con datos faltantes (listwise deletion), imputación por valores fijos (0 o 1) o por reemplazo aleatorio uniforme.","Es completamente libre de modelo (model-free), de modo que no requiere formular supuestos de distribuciones de probabilidad previas; previene los sesgos y falsos positivos introducidos por imputaciones arbitrarias o inferencias con prioris incorrectas; y evita la pérdida de información útil que ocurre al descartar muestras de la base de datos.","La función de confiabilidad evalúa el nivel de señal erosionada y previene falsas interpretaciones, pero no calcula ni rellena los valores faltantes en sí. Su generalización a métodos de regresión estándar es compleja.","Probado en datos simulados sintéticos de variables discretas independientes con dependencias complejas (OR, AND, XOR). Sin código adjunto listado.","Análisis no paramétrico basado en la teoría de la información (entropías, mutual e interaction information) para caracterizar de forma rigurosa la pérdida de señal debido a datos faltantes (MCAR), modelando el dato faltante como ruido de capacidad en canales de comunicación."
